timestamp,session_id,conn_profile,real_ip,sn,robot_version,menu_choice,action,target,value,side,joint_index,joint_name,step_value,command_value,status,error,left_gripper_est,right_gripper_est,left_arm_estimate,right_arm_estimate,notes,git_branch,git_commit
2026-05-15T11:01:47+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,12,single_joint_step,left,1.100,left,1,shoulder_yaw,0.100,1.100,success,,0.700,0.750,"[?, 1.100, ?, ?, ?, ?, ?]","[?, ?, ?, ?, ?, ?, ?]","operator_current_est=1.000; raw_target=1.100; limit=[-0.213, 2.029]",,
2026-05-15T11:02:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,9,arm_home,left,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",left,,,,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]",success,,0.700,0.750,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",,,
2026-05-15T11:02:54+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,0.700,0.800,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:02:56+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.850,right,,,0.050,0.850,success,,0.700,0.850,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:02:56+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.800,right,,,0.050,0.800,success,,0.700,0.800,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:57+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.750,right,,,0.050,0.750,success,,0.700,0.750,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:58+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.700,right,,,0.050,0.700,success,,0.700,0.700,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:58+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.650,right,,,0.050,0.650,success,,0.700,0.650,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:58+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.600,right,,,0.050,0.600,success,,0.700,0.600,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.550,right,,,0.050,0.550,success,,0.700,0.550,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
